########## 1. M 内部对应对（不含任何研究集端点）##########
[data] N=2241  papers=162
[filter] local-only eligible MSUs: 2241/2241 categories=ALL, min_rank=1
[cand] 3500 cross-paper candidate pairs in cosine[0.55,0.95]
[coverage] 2238/2241 eligible MSUs occur in at least one submitted pair
[judge] 10/3500  kept=4
[judge] 20/3500  kept=13
[judge] 30/3500  kept=20
[judge] 40/3500  kept=26
[judge] 50/3500  kept=31
[judge] 60/3500  kept=36
[judge] 70/3500  kept=42
[judge] 80/3500  kept=47
[judge] 90/3500  kept=50
[judge] 100/3500  kept=53
[judge] 110/3500  kept=59
[judge] 120/3500  kept=66
[judge] 130/3500  kept=74
[judge] 140/3500  kept=79
[judge] 150/3500  kept=85
[judge] 160/3500  kept=89
[judge] 170/3500  kept=92
[judge] 180/3500  kept=98
[judge] 190/3500  kept=102
[judge] 200/3500  kept=106
[judge] 210/3500  kept=110
[judge] 220/3500  kept=114
[judge] 230/3500  kept=120
[judge] 240/3500  kept=125
[judge] 250/3500  kept=127
[judge] 260/3500  kept=131
[judge] 270/3500  kept=137
[judge] 280/3500  kept=141
[judge] 290/3500  kept=145
[judge] 300/3500  kept=151
[judge] 310/3500  kept=156
[judge] 320/3500  kept=160
[judge] 330/3500  kept=164
[judge] 340/3500  kept=168
[judge] 350/3500  kept=174
[judge] 360/3500  kept=177
[judge] 370/3500  kept=181
[judge] 380/3500  kept=184
[judge] 390/3500  kept=189
[judge] 400/3500  kept=193
[judge] 410/3500  kept=197
[judge] 420/3500  kept=204
[judge] 430/3500  kept=207
[judge] 440/3500  kept=211
[judge] 450/3500  kept=215
[judge] 460/3500  kept=219
[judge] 470/3500  kept=222
[judge] 480/3500  kept=228
[judge] 490/3500  kept=231
[judge] 500/3500  kept=235
[judge] 510/3500  kept=236
[judge] 520/3500  kept=239
[judge] 530/3500  kept=243
[judge] 540/3500  kept=246
[judge] 550/3500  kept=250
[judge] 560/3500  kept=252
[judge] 570/3500  kept=256
[judge] 580/3500  kept=260
[judge] 590/3500  kept=265
[judge] 600/3500  kept=268
[judge] 610/3500  kept=271
[judge] 620/3500  kept=272
[judge] 630/3500  kept=276
[judge] 640/3500  kept=279
[judge] 650/3500  kept=283
[judge] 660/3500  kept=285
[judge] 670/3500  kept=287
[judge] 680/3500  kept=290
[judge] 690/3500  kept=294
[judge] 700/3500  kept=296
[judge] 710/3500  kept=298
[judge] 720/3500  kept=299
[judge] 730/3500  kept=300
[judge] 740/3500  kept=303
[judge] 750/3500  kept=308
[judge] 760/3500  kept=311
[judge] 770/3500  kept=312
[judge] 780/3500  kept=316
[judge] 790/3500  kept=319
[judge] 800/3500  kept=321
[judge] 810/3500  kept=325
[judge] 820/3500  kept=329
[judge] 830/3500  kept=331
[judge] 840/3500  kept=335
[judge] 850/3500  kept=340
[judge] 860/3500  kept=342
[judge] 870/3500  kept=347
[judge] 880/3500  kept=351
[judge] 890/3500  kept=353
[judge] 900/3500  kept=356
[judge] 910/3500  kept=361
[judge] 920/3500  kept=363
[judge] 930/3500  kept=365
[judge] 940/3500  kept=367
[judge] 950/3500  kept=369
[judge] 960/3500  kept=373
[judge] 970/3500  kept=376
[judge] 980/3500  kept=379
[judge] 990/3500  kept=382
[judge] 1000/3500  kept=384
[judge] 1010/3500  kept=387
[judge] 1020/3500  kept=390
[judge] 1030/3500  kept=392
[judge] 1040/3500  kept=394
[judge] 1050/3500  kept=397
[judge] 1060/3500  kept=400
[judge] 1070/3500  kept=403
[judge] 1080/3500  kept=407
[judge] 1090/3500  kept=412
[judge] 1100/3500  kept=412
[judge] 1110/3500  kept=415
[judge] 1120/3500  kept=419
[judge] 1130/3500  kept=423
[judge] 1140/3500  kept=426
[judge] 1150/3500  kept=429
[judge] 1160/3500  kept=432
[judge] 1170/3500  kept=434
[judge] 1180/3500  kept=436
[judge] 1190/3500  kept=440
[judge] 1200/3500  kept=442
[judge] 1210/3500  kept=445
[judge] 1220/3500  kept=448
[judge] 1230/3500  kept=454
[judge] 1240/3500  kept=457
[judge] 1250/3500  kept=460
[judge] 1260/3500  kept=463
[judge] 1270/3500  kept=466
[judge] 1280/3500  kept=468
[judge] 1290/3500  kept=470
[judge] 1300/3500  kept=471
[judge] 1310/3500  kept=473
[judge] 1320/3500  kept=475
[judge] 1330/3500  kept=476
[judge] 1340/3500  kept=479
[judge] 1350/3500  kept=483
[judge] 1360/3500  kept=487
[judge] 1370/3500  kept=489
[judge] 1380/3500  kept=492
[judge] 1390/3500  kept=495
[judge] 1400/3500  kept=498
[judge] 1410/3500  kept=501
[judge] 1420/3500  kept=504
[judge] 1430/3500  kept=507
[judge] 1440/3500  kept=509
[judge] 1450/3500  kept=512
[judge] 1460/3500  kept=515
[judge] 1470/3500  kept=518
[judge] 1480/3500  kept=520
[judge] 1490/3500  kept=524
[judge] 1500/3500  kept=527
[judge] 1510/3500  kept=531
[judge] 1520/3500  kept=533
[judge] 1530/3500  kept=536
[judge] 1540/3500  kept=540
[judge] 1550/3500  kept=542
[judge] 1560/3500  kept=543
[judge] 1570/3500  kept=544
[judge] 1580/3500  kept=546
[judge] 1590/3500  kept=548
[judge] 1600/3500  kept=551
[judge] 1610/3500  kept=551
[judge] 1620/3500  kept=553
[judge] 1630/3500  kept=557
[judge] 1640/3500  kept=559
[judge] 1650/3500  kept=560
[judge] 1660/3500  kept=562
[judge] 1670/3500  kept=566
[judge] 1680/3500  kept=569
[judge] 1690/3500  kept=571
[judge] 1700/3500  kept=572
[judge] 1710/3500  kept=574
[judge] 1720/3500  kept=577
[judge] 1730/3500  kept=580
[judge] 1740/3500  kept=583
[judge] 1750/3500  kept=586
[judge] 1760/3500  kept=589
[judge] 1770/3500  kept=590
[judge] 1780/3500  kept=592
[judge] 1790/3500  kept=594
[judge] 1800/3500  kept=598
[judge] 1810/3500  kept=600
[judge] 1820/3500  kept=605
[judge] 1830/3500  kept=609
[judge] 1840/3500  kept=613
[judge] 1850/3500  kept=615
[judge] 1860/3500  kept=617
[judge] 1870/3500  kept=619
[judge] 1880/3500  kept=622
[judge] 1890/3500  kept=623
[judge] 1900/3500  kept=625
[judge] 1910/3500  kept=629
[judge] 1920/3500  kept=632
[judge] 1930/3500  kept=634
[judge] 1940/3500  kept=636
[judge] 1950/3500  kept=637
[judge] 1960/3500  kept=641
[judge] 1970/3500  kept=644
[judge] 1980/3500  kept=648
[judge] 1990/3500  kept=649
[judge] 2000/3500  kept=652
[judge] 2010/3500  kept=656
[judge] 2020/3500  kept=658
[judge] 2030/3500  kept=661
[judge] 2040/3500  kept=663
[judge] 2050/3500  kept=666
[judge] 2060/3500  kept=670
[judge] 2070/3500  kept=671
[judge] 2080/3500  kept=674
[judge] 2090/3500  kept=678
[judge] 2100/3500  kept=681
[judge] 2110/3500  kept=682
[judge] 2120/3500  kept=685
[judge] 2130/3500  kept=690
[judge] 2140/3500  kept=691
[judge] 2150/3500  kept=694
[judge] 2160/3500  kept=696
[judge] 2170/3500  kept=697
[judge] 2180/3500  kept=699
[judge] 2190/3500  kept=702
[judge] 2200/3500  kept=702
[judge] 2210/3500  kept=706
[judge] 2220/3500  kept=708
[judge] 2230/3500  kept=712
[judge] 2240/3500  kept=717
[judge] 2250/3500  kept=719
[judge] 2260/3500  kept=720
[judge] 2270/3500  kept=723
[judge] 2280/3500  kept=725
[judge] 2290/3500  kept=726
[judge] 2300/3500  kept=730
[judge] 2310/3500  kept=734
[judge] 2320/3500  kept=736
[judge] 2330/3500  kept=739
[judge] 2340/3500  kept=742
[judge] 2350/3500  kept=743
[judge] 2360/3500  kept=744
[judge] 2370/3500  kept=747
[judge] 2380/3500  kept=748
[judge] 2390/3500  kept=751
[judge] 2400/3500  kept=753
[judge] 2410/3500  kept=756
[judge] 2420/3500  kept=760
[judge] 2430/3500  kept=762
[judge] 2440/3500  kept=765
[judge] 2450/3500  kept=768
[judge] 2460/3500  kept=770
[judge] 2470/3500  kept=773
[judge] 2480/3500  kept=776
[judge] 2490/3500  kept=779
[judge] 2500/3500  kept=780
[judge] 2510/3500  kept=782
[judge] 2520/3500  kept=783
[judge] 2530/3500  kept=786
[judge] 2540/3500  kept=787
[judge] 2550/3500  kept=789
[judge] 2560/3500  kept=790
[judge] 2570/3500  kept=792
[judge] 2580/3500  kept=796
[judge] 2590/3500  kept=799
[judge] 2600/3500  kept=801
[judge] 2610/3500  kept=805
[judge] 2620/3500  kept=805
[judge] 2630/3500  kept=805
[judge] 2640/3500  kept=806
[judge] 2650/3500  kept=809
[judge] 2660/3500  kept=811
