########## 1. 跨论文对应对 ##########
[data] N=2486  papers=107
[filter] local-only eligible MSUs: 2486/2486 categories=ALL, min_rank=1
[cand] 4000 cross-paper candidate pairs in cosine[0.55,0.95]
[coverage] 2467/2486 eligible MSUs occur in at least one submitted pair
[judge] 10/4000  kept=5
[judge] 20/4000  kept=11
[judge] 30/4000  kept=17
[judge] 40/4000  kept=24
[judge] 50/4000  kept=29
[judge] 60/4000  kept=35
[judge] 70/4000  kept=39
[judge] 80/4000  kept=45
[judge] 90/4000  kept=50
[judge] 100/4000  kept=57
[judge] 110/4000  kept=63
[judge] 120/4000  kept=68
[judge] 130/4000  kept=73
[judge] 140/4000  kept=77
[judge] 150/4000  kept=82
[judge] 160/4000  kept=87
[judge] 170/4000  kept=95
[judge] 180/4000  kept=100
[judge] 190/4000  kept=104
[judge] 200/4000  kept=110
[judge] 210/4000  kept=116
[judge] 220/4000  kept=121
[judge] 230/4000  kept=124
[judge] 240/4000  kept=129
[judge] 250/4000  kept=133
[judge] 260/4000  kept=138
[judge] 270/4000  kept=145
[judge] 280/4000  kept=150
[judge] 290/4000  kept=153
[judge] 300/4000  kept=158
[judge] 310/4000  kept=164
[judge] 320/4000  kept=167
[judge] 330/4000  kept=174
[judge] 340/4000  kept=179
[judge] 350/4000  kept=187
[judge] 360/4000  kept=192
[judge] 370/4000  kept=197
[judge] 380/4000  kept=205
[judge] 390/4000  kept=211
[judge] 400/4000  kept=216
[judge] 410/4000  kept=223
[judge] 420/4000  kept=228
[judge] 430/4000  kept=233
[judge] 440/4000  kept=236
[judge] 450/4000  kept=243
[judge] 460/4000  kept=248
[judge] 470/4000  kept=252
[judge] 480/4000  kept=256
[judge] 490/4000  kept=262
[judge] 500/4000  kept=266
[judge] 510/4000  kept=272
[judge] 520/4000  kept=277
[judge] 530/4000  kept=284
[judge] 540/4000  kept=289
[judge] 550/4000  kept=295
[judge] 560/4000  kept=300
[judge] 570/4000  kept=305
[judge] 580/4000  kept=310
[judge] 590/4000  kept=313
[judge] 600/4000  kept=318
[judge] 610/4000  kept=322
[judge] 620/4000  kept=329
[judge] 630/4000  kept=335
[judge] 640/4000  kept=338
[judge] 650/4000  kept=342
[judge] 660/4000  kept=347
[judge] 670/4000  kept=353
[judge] 680/4000  kept=357
[judge] 690/4000  kept=360
[judge] 700/4000  kept=366
[judge] 710/4000  kept=371
[judge] 720/4000  kept=376
[judge] 730/4000  kept=380
[judge] 740/4000  kept=386
[judge] 750/4000  kept=394
[judge] 760/4000  kept=399
[judge] 770/4000  kept=404
[judge] 780/4000  kept=408
[judge] 790/4000  kept=413
[judge] 800/4000  kept=417
[judge] 810/4000  kept=421
[judge] 820/4000  kept=425
[judge] 830/4000  kept=430
[judge] 840/4000  kept=434
[judge] 850/4000  kept=440
[judge] 860/4000  kept=444
[judge] 870/4000  kept=447
[judge] 880/4000  kept=453
[judge] 890/4000  kept=456
[judge] 900/4000  kept=460
[judge] 910/4000  kept=465
[judge] 920/4000  kept=469
[judge] 930/4000  kept=472
[judge] 940/4000  kept=477
[judge] 950/4000  kept=481
[judge] 960/4000  kept=484
[judge] 970/4000  kept=489
[judge] 980/4000  kept=493
[judge] 990/4000  kept=496
[judge] 1000/4000  kept=499
[judge] 1010/4000  kept=502
[judge] 1020/4000  kept=506
[judge] 1030/4000  kept=511
[judge] 1040/4000  kept=516
[judge] 1050/4000  kept=520
[judge] 1060/4000  kept=524
[judge] 1070/4000  kept=528
[judge] 1080/4000  kept=532
[judge] 1090/4000  kept=538
[judge] 1100/4000  kept=542
[judge] 1110/4000  kept=548
[judge] 1120/4000  kept=553
[judge] 1130/4000  kept=559
[judge] 1140/4000  kept=563
[judge] 1150/4000  kept=567
[judge] 1160/4000  kept=572
[judge] 1170/4000  kept=577
[judge] 1180/4000  kept=582
[judge] 1190/4000  kept=587
[judge] 1200/4000  kept=591
[judge] 1210/4000  kept=597
[judge] 1220/4000  kept=601
[judge] 1230/4000  kept=605
[judge] 1240/4000  kept=612
[judge] 1250/4000  kept=615
[judge] 1260/4000  kept=619
[judge] 1270/4000  kept=623
[judge] 1280/4000  kept=629
[judge] 1290/4000  kept=634
[judge] 1300/4000  kept=638
[judge] 1310/4000  kept=642
[judge] 1320/4000  kept=647
[judge] 1330/4000  kept=651
[judge] 1340/4000  kept=658
[judge] 1350/4000  kept=661
[judge] 1360/4000  kept=666
[judge] 1370/4000  kept=669
[judge] 1380/4000  kept=674
[judge] 1390/4000  kept=678
[judge] 1400/4000  kept=682
[judge] 1410/4000  kept=685
[judge] 1420/4000  kept=691
[judge] 1430/4000  kept=696
[judge] 1440/4000  kept=699
[judge] 1450/4000  kept=704
[judge] 1460/4000  kept=710
[judge] 1470/4000  kept=714
[judge] 1480/4000  kept=717
[judge] 1490/4000  kept=719
[judge] 1500/4000  kept=724
[judge] 1510/4000  kept=730
[judge] 1520/4000  kept=733
[judge] 1530/4000  kept=736
[judge] 1540/4000  kept=739
[judge] 1550/4000  kept=741
[judge] 1560/4000  kept=744
[judge] 1570/4000  kept=748
[judge] 1580/4000  kept=753
[judge] 1590/4000  kept=757
[judge] 1600/4000  kept=760
[judge] 1610/4000  kept=763
[judge] 1620/4000  kept=768
[judge] 1630/4000  kept=771
[judge] 1640/4000  kept=775
[judge] 1650/4000  kept=778
[judge] 1660/4000  kept=781
[judge] 1670/4000  kept=783
[judge] 1680/4000  kept=786
[judge] 1690/4000  kept=789
[judge] 1700/4000  kept=792
[judge] 1710/4000  kept=793
[judge] 1720/4000  kept=797
[judge] 1730/4000  kept=803
[judge] 1740/4000  kept=806
[judge] 1750/4000  kept=811
[judge] 1760/4000  kept=816
[judge] 1770/4000  kept=819
[judge] 1780/4000  kept=823
[judge] 1790/4000  kept=828
[judge] 1800/4000  kept=832
[judge] 1810/4000  kept=836
[judge] 1820/4000  kept=841
[judge] 1830/4000  kept=843
[judge] 1840/4000  kept=848
[judge] 1850/4000  kept=851
[judge] 1860/4000  kept=853
[judge] 1870/4000  kept=858
[judge] 1880/4000  kept=862
[judge] 1890/4000  kept=865
[judge] 1900/4000  kept=869
[judge] 1910/4000  kept=873
[judge] 1920/4000  kept=878
[judge] 1930/4000  kept=882
[judge] 1940/4000  kept=886
[judge] 1950/4000  kept=891
[judge] 1960/4000  kept=895
[judge] 1970/4000  kept=899
[judge] 1980/4000  kept=902
[judge] 1990/4000  kept=904
[judge] 2000/4000  kept=908
[judge] 2010/4000  kept=912
[judge] 2020/4000  kept=916
[judge] 2030/4000  kept=921
[judge] 2040/4000  kept=925
[judge] 2050/4000  kept=928
[judge] 2060/4000  kept=933
[judge] 2070/4000  kept=936
[judge] 2080/4000  kept=938
[judge] 2090/4000  kept=943
[judge] 2100/4000  kept=948
[judge] 2110/4000  kept=950
[judge] 2120/4000  kept=953
[judge] 2130/4000  kept=958
[judge] 2140/4000  kept=961
[judge] 2150/4000  kept=965
[judge] 2160/4000  kept=967
[judge] 2170/4000  kept=971
[judge] 2180/4000  kept=974
[judge] 2190/4000  kept=977
[judge] 2200/4000  kept=980
[judge] 2210/4000  kept=984
[judge] 2220/4000  kept=989
[judge] 2230/4000  kept=992
[judge] 2240/4000  kept=996
[judge] 2250/4000  kept=999
[judge] 2260/4000  kept=1003
[judge] 2270/4000  kept=1005
[judge] 2280/4000  kept=1009
[judge] 2290/4000  kept=1012
[judge] 2300/4000  kept=1016
[judge] 2310/4000  kept=1020
[judge] 2320/4000  kept=1024
[judge] 2330/4000  kept=1028
[judge] 2340/4000  kept=1031
[judge] 2350/4000  kept=1033
[judge] 2360/4000  kept=1037
[judge] 2370/4000  kept=1040
[judge] 2380/4000  kept=1043
[judge] 2390/4000  kept=1047
[judge] 2400/4000  kept=1051
[judge] 2410/4000  kept=1055
[judge] 2420/4000  kept=1058
[judge] 2430/4000  kept=1060
[judge] 2440/4000  kept=1063
[judge] 2450/4000  kept=1067
[judge] 2460/4000  kept=1070
[judge] 2470/4000  kept=1072
[judge] 2480/4000  kept=1076
[judge] 2490/4000  kept=1081
[judge] 2500/4000  kept=1083
[judge] 2510/4000  kept=1087
[judge] 2520/4000  kept=1090
[judge] 2530/4000  kept=1093
[judge] 2540/4000  kept=1095
[judge] 2550/4000  kept=1099
[judge] 2560/4000  kept=1102
[judge] 2570/4000  kept=1104
[judge] 2580/4000  kept=1109
[judge] 2590/4000  kept=1115
[judge] 2600/4000  kept=1120
[judge] 2610/4000  kept=1123
[judge] 2620/4000  kept=1127
[judge] 2630/4000  kept=1130
[judge] 2640/4000  kept=1133
[judge] 2650/4000  kept=1138
[judge] 2660/4000  kept=1140
[judge] 2670/4000  kept=1145
[judge] 2680/4000  kept=1148
[judge] 2690/4000  kept=1150
[judge] 2700/4000  kept=1155
