[data] N=1770  papers=73
[filter] local-only eligible MSUs: 1770/1770 categories=ALL, min_rank=1
[cand] 3000 cross-paper candidate pairs in cosine[0.55,0.95]
[coverage] 1768/1770 eligible MSUs occur in at least one submitted pair
[judge] 10/3000  kept=7
[judge] 20/3000  kept=14
[judge] 30/3000  kept=19
[judge] 40/3000  kept=26
[judge] 50/3000  kept=32
[judge] 60/3000  kept=39
[judge] 70/3000  kept=45
[judge] 80/3000  kept=51
[judge] 90/3000  kept=57
[judge] 100/3000  kept=65
[judge] 110/3000  kept=69
[judge] 120/3000  kept=76
[judge] 130/3000  kept=82
[judge] 140/3000  kept=86
[judge] 150/3000  kept=89
[judge] 160/3000  kept=95
[judge] 170/3000  kept=100
[judge] 180/3000  kept=107
[judge] 190/3000  kept=113
[judge] 200/3000  kept=117
[judge] 210/3000  kept=119
[judge] 220/3000  kept=123
[judge] 230/3000  kept=128
[judge] 240/3000  kept=132
[judge] 250/3000  kept=136
[judge] 260/3000  kept=140
[judge] 270/3000  kept=145
[judge] 280/3000  kept=151
[judge] 290/3000  kept=156
[judge] 300/3000  kept=160
[judge] 310/3000  kept=164
[judge] 320/3000  kept=168
[judge] 330/3000  kept=174
[judge] 340/3000  kept=178
[judge] 350/3000  kept=184
[judge] 360/3000  kept=190
[judge] 370/3000  kept=195
[judge] 380/3000  kept=200
[judge] 390/3000  kept=207
[judge] 400/3000  kept=213
[judge] 410/3000  kept=218
[judge] 420/3000  kept=223
[judge] 430/3000  kept=227
[judge] 440/3000  kept=233
[judge] 450/3000  kept=238
[judge] 460/3000  kept=242
[judge] 470/3000  kept=246
[judge] 480/3000  kept=251
[judge] 490/3000  kept=255
[judge] 500/3000  kept=262
[judge] 510/3000  kept=268
[judge] 520/3000  kept=273
[judge] 530/3000  kept=278
[judge] 540/3000  kept=284
[judge] 550/3000  kept=288
[judge] 560/3000  kept=294
[judge] 570/3000  kept=298
[judge] 580/3000  kept=303
[judge] 590/3000  kept=309
[judge] 600/3000  kept=314
[judge] 610/3000  kept=318
[judge] 620/3000  kept=322
[judge] 630/3000  kept=326
[judge] 640/3000  kept=330
[judge] 650/3000  kept=334
[judge] 660/3000  kept=340
[judge] 670/3000  kept=343
[judge] 680/3000  kept=347
[judge] 690/3000  kept=353
[judge] 700/3000  kept=357
[judge] 710/3000  kept=362
[judge] 720/3000  kept=366
[judge] 730/3000  kept=369
[judge] 740/3000  kept=371
[judge] 750/3000  kept=375
[judge] 760/3000  kept=378
[judge] 770/3000  kept=381
[judge] 780/3000  kept=384
[judge] 790/3000  kept=388
[judge] 800/3000  kept=392
[judge] 810/3000  kept=396
[judge] 820/3000  kept=401
[judge] 830/3000  kept=406
[judge] 840/3000  kept=411
[judge] 850/3000  kept=418
[judge] 860/3000  kept=422
[judge] 870/3000  kept=427
[judge] 880/3000  kept=432
[judge] 890/3000  kept=435
[judge] 900/3000  kept=439
[judge] 910/3000  kept=442
[judge] 920/3000  kept=447
[judge] 930/3000  kept=451
[judge] 940/3000  kept=458
[judge] 950/3000  kept=464
[judge] 960/3000  kept=468
[judge] 970/3000  kept=471
[judge] 980/3000  kept=478
[judge] 990/3000  kept=481
[judge] 1000/3000  kept=486
[judge] 1010/3000  kept=491
[judge] 1020/3000  kept=496
[judge] 1030/3000  kept=501
[judge] 1040/3000  kept=505
[judge] 1050/3000  kept=508
[judge] 1060/3000  kept=512
[judge] 1070/3000  kept=517
[judge] 1080/3000  kept=521
[judge] 1090/3000  kept=526
[judge] 1100/3000  kept=532
[judge] 1110/3000  kept=536
[judge] 1120/3000  kept=539
[judge] 1130/3000  kept=543
[judge] 1140/3000  kept=548
[judge] 1150/3000  kept=552
[judge] 1160/3000  kept=555
[judge] 1170/3000  kept=557
[judge] 1180/3000  kept=561
[judge] 1190/3000  kept=565
[judge] 1200/3000  kept=568
[judge] 1210/3000  kept=572
[judge] 1220/3000  kept=576
[judge] 1230/3000  kept=579
[judge] 1240/3000  kept=582
[judge] 1250/3000  kept=586
[judge] 1260/3000  kept=589
[judge] 1270/3000  kept=594
[judge] 1280/3000  kept=599
[judge] 1290/3000  kept=600
[judge] 1300/3000  kept=606
[judge] 1310/3000  kept=609
[judge] 1320/3000  kept=613
[judge] 1330/3000  kept=616
[judge] 1340/3000  kept=620
[judge] 1350/3000  kept=622
[judge] 1360/3000  kept=626
[judge] 1370/3000  kept=630
[judge] 1380/3000  kept=632
[judge] 1390/3000  kept=634
[judge] 1400/3000  kept=638
[judge] 1410/3000  kept=640
[judge] 1420/3000  kept=645
[judge] 1430/3000  kept=647
[judge] 1440/3000  kept=651
[judge] 1450/3000  kept=654
[judge] 1460/3000  kept=658
[judge] 1470/3000  kept=661
[judge] 1480/3000  kept=667
[judge] 1490/3000  kept=670
[judge] 1500/3000  kept=672
[judge] 1510/3000  kept=675
[judge] 1520/3000  kept=679
[judge] 1530/3000  kept=683
[judge] 1540/3000  kept=687
[judge] 1550/3000  kept=690
[judge] 1560/3000  kept=693
[judge] 1570/3000  kept=697
[judge] 1580/3000  kept=701
[judge] 1590/3000  kept=704
[judge] 1600/3000  kept=708
[judge] 1610/3000  kept=712
[judge] 1620/3000  kept=713
[judge] 1630/3000  kept=717
[judge] 1640/3000  kept=721
[judge] 1650/3000  kept=725
[judge] 1660/3000  kept=727
[judge] 1670/3000  kept=731
[judge] 1680/3000  kept=733
[judge] 1690/3000  kept=735
[judge] 1700/3000  kept=739
[judge] 1710/3000  kept=742
[judge] 1720/3000  kept=745
[judge] 1730/3000  kept=748
[judge] 1740/3000  kept=752
[judge] 1750/3000  kept=757
[judge] 1760/3000  kept=760
[judge] 1770/3000  kept=764
[judge] 1780/3000  kept=767
[judge] 1790/3000  kept=770
[judge] 1800/3000  kept=772
[judge] 1810/3000  kept=776
[judge] 1820/3000  kept=780
[judge] 1830/3000  kept=783
[judge] 1840/3000  kept=786
[judge] 1850/3000  kept=788
[judge] 1860/3000  kept=791
[judge] 1870/3000  kept=794
[judge] 1880/3000  kept=796
[judge] 1890/3000  kept=798
[judge] 1900/3000  kept=801
[judge] 1910/3000  kept=805
[judge] 1920/3000  kept=808
[judge] 1930/3000  kept=810
[judge] 1940/3000  kept=814
[judge] 1950/3000  kept=816
[judge] 1960/3000  kept=817
[judge] 1970/3000  kept=820
[judge] 1980/3000  kept=825
[judge] 1990/3000  kept=829
[judge] 2000/3000  kept=831
[judge] 2010/3000  kept=833
