[data] N=2689  papers=6
[filter] local-only eligible MSUs: 2689/2689 categories=ALL, min_rank=-1
[cand] 30000 cross-paper candidate pairs in cosine[0.55,0.95]
[coverage] 2686/2689 eligible MSUs occur in at least one submitted pair
[judge] 10/30000  kept=8
[judge] 20/30000  kept=16
[judge] 30/30000  kept=24
[judge] 40/30000  kept=30
[judge] 50/30000  kept=37
[judge] 60/30000  kept=43
[judge] 70/30000  kept=49
[judge] 80/30000  kept=54
[judge] 90/30000  kept=61
[judge] 100/30000  kept=68
[judge] 110/30000  kept=72
[judge] 120/30000  kept=79
[judge] 130/30000  kept=87
[judge] 140/30000  kept=91
[judge] 150/30000  kept=96
[judge] 160/30000  kept=102
[judge] 170/30000  kept=105
[judge] 180/30000  kept=111
[judge] 190/30000  kept=118
[judge] 200/30000  kept=124
[judge] 210/30000  kept=130
[judge] 220/30000  kept=134
[judge] 230/30000  kept=138
[judge] 240/30000  kept=143
[judge] 250/30000  kept=149
[judge] 260/30000  kept=154
[judge] 270/30000  kept=161
[judge] 280/30000  kept=167
[judge] 290/30000  kept=172
[judge] 300/30000  kept=176
[judge] 310/30000  kept=182
[judge] 320/30000  kept=186
[judge] 330/30000  kept=192
[judge] 340/30000  kept=196
[judge] 350/30000  kept=200
[judge] 360/30000  kept=203
[judge] 370/30000  kept=208
[judge] 380/30000  kept=213
[judge] 390/30000  kept=220
[judge] 400/30000  kept=225
[judge] 410/30000  kept=229
[judge] 420/30000  kept=235
[judge] 430/30000  kept=242
[judge] 440/30000  kept=249
[judge] 450/30000  kept=254
[judge] 460/30000  kept=259
[judge] 470/30000  kept=261
[judge] 480/30000  kept=265
[judge] 490/30000  kept=270
[judge] 500/30000  kept=273
[judge] 510/30000  kept=278
[judge] 520/30000  kept=283
[judge] 530/30000  kept=288
[judge] 540/30000  kept=293
[judge] 550/30000  kept=298
[judge] 560/30000  kept=305
[judge] 570/30000  kept=308
[judge] 580/30000  kept=313
[judge] 590/30000  kept=317
[judge] 600/30000  kept=320
[judge] 610/30000  kept=323
[judge] 620/30000  kept=327
[judge] 630/30000  kept=332
[judge] 640/30000  kept=337
[judge] 650/30000  kept=341
[judge] 660/30000  kept=345
[judge] 670/30000  kept=350
[judge] 680/30000  kept=355
[judge] 690/30000  kept=359
[judge] 700/30000  kept=363
[judge] 710/30000  kept=367
[judge] 720/30000  kept=371
[judge] 730/30000  kept=374
[judge] 740/30000  kept=381
[judge] 750/30000  kept=386
[judge] 760/30000  kept=388
[judge] 770/30000  kept=392
[judge] 780/30000  kept=395
[judge] 790/30000  kept=399
[judge] 800/30000  kept=403
[judge] 810/30000  kept=407
[judge] 820/30000  kept=409
[judge] 830/30000  kept=412
[judge] 840/30000  kept=417
[judge] 850/30000  kept=421
[judge] 860/30000  kept=424
[judge] 870/30000  kept=427
[judge] 880/30000  kept=431
[judge] 890/30000  kept=438
[judge] 900/30000  kept=442
[judge] 910/30000  kept=445
[judge] 920/30000  kept=450
[judge] 930/30000  kept=453
[judge] 940/30000  kept=456
[judge] 950/30000  kept=460
[judge] 960/30000  kept=464
[judge] 970/30000  kept=468
[judge] 980/30000  kept=472
[judge] 990/30000  kept=478
[judge] 1000/30000  kept=481
[judge] 1010/30000  kept=484
[judge] 1020/30000  kept=490
[judge] 1030/30000  kept=494
[judge] 1040/30000  kept=499
[judge] 1050/30000  kept=501
[judge] 1060/30000  kept=505
[judge] 1070/30000  kept=508
[judge] 1080/30000  kept=513
[judge] 1090/30000  kept=515
[judge] 1100/30000  kept=518
[judge] 1110/30000  kept=521
[judge] 1120/30000  kept=525
[judge] 1130/30000  kept=531
[judge] 1140/30000  kept=534
[judge] 1150/30000  kept=538
[judge] 1160/30000  kept=542
[judge] 1170/30000  kept=546
[judge] 1180/30000  kept=551
[judge] 1190/30000  kept=555
[judge] 1200/30000  kept=559
[judge] 1210/30000  kept=564
[judge] 1220/30000  kept=567
[judge] 1230/30000  kept=573
[judge] 1240/30000  kept=577
[judge] 1250/30000  kept=582
[judge] 1260/30000  kept=586
[judge] 1270/30000  kept=589
[judge] 1280/30000  kept=593
[judge] 1290/30000  kept=598
[judge] 1300/30000  kept=600
[judge] 1310/30000  kept=605
[judge] 1320/30000  kept=609
[judge] 1330/30000  kept=612
[judge] 1340/30000  kept=617
[judge] 1350/30000  kept=621
[judge] 1360/30000  kept=623
[judge] 1370/30000  kept=625
[judge] 1380/30000  kept=629
[judge] 1390/30000  kept=634
